MatchID,Defending Result,Defending Team,Chasing Team,Defending Stadium,Time,Defending Toss,Bat2 Strength,Bowl2 Strength,First Inn Score,First Inn Median,Second Inn Median,Ground Altitude,Ground Length,Ground Width
106,1,MUMBAI INDIANS,DELHI CAPITALS,HOME,Day/Night,LOST,28052.57968,4706.673451,178,161.5,146,3,140,140
107,0,KOCHI TUSKERS KERALA,ROYAL CHALLENGERS BANGALORE,AWAY,Day,WON,27356.58869,3350.688259,125,171,143,917,118.872,107.8992
108,0,PUNJAB KINGS,PUNE WARRIORS,HOME,Day/Night,WON,22467.42575,2668.069767,119,181.5,160,318,137.16,137.16
109,1,CHENNAI SUPER KINGS,RAJASTHAN ROYALS,AWAY,Day/Night,LOST,25500.95101,3914.534659,196,151,144,429,145.06,142.33
110,0,DECCAN CHARGERS,PUNE WARRIORS,HOME,Day,WON,23398.58352,3472.359104,136,169,153,495,135,135
111,0,PUNJAB KINGS,MUMBAI INDIANS,HOME,Day/Night,LOST,29807.17346,2793.248956,163,181,158,318,137.16,137.16
112,0,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,LOST,26897.57428,3241.518987,146,152,142.5,429,145.06,142.33
113,1,CHENNAI SUPER KINGS,DELHI CAPITALS,HOME,Day/Night,WON,27684.52636,4177.567706,176,161,151,5,131.66,137.16
114,0,KOCHI TUSKERS KERALA,PUNJAB KINGS,HOME,Day/Night,LOST,24196.79629,3256.418154,178,159,146,552,136,112
115,1,DECCAN CHARGERS,MUMBAI INDIANS,AWAY,Day/Night,WON,28280.57034,3295.894044,135,164,146,3,140,140
116,1,PUNJAB KINGS,DELHI CAPITALS,HOME,Day,LOST,21098.18214,3238.981594,170,168.6,162.2,1162,134.76,137.85
117,0,RAJASTHAN ROYALS,KOCHI TUSKERS KERALA,AWAY,Day/Night,LOST,25201.02919,3451.333405,97,162.8,152.6,552,136,112
118,0,PUNE WARRIORS,DECCAN CHARGERS,HOME,Day/Night,LOST,20487.62227,4148.629349,136,160,145,10,137.88,149.17
119,1,PUNJAB KINGS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,26857.86319,2958.167878,232,167.8,164.8,1162,134.76,137.85
120,1,CHENNAI SUPER KINGS,KOCHI TUSKERS KERALA,HOME,Day/Night,WON,22170.57448,4103.604082,152,163,151.5,5,131.66,137.16
121,0,PUNE WARRIORS,KOLKATA KNIGHT RIDERS,HOME,Day/Night,LOST,21980.42149,4062.024983,118,157,142,10,137.88,149.17
122,0,MUMBAI INDIANS,RAJASTHAN ROYALS,HOME,Day/Night,WON,22660.68885,4978.89352,133,161.5,141,3,140,140
123,1,DECCAN CHARGERS,PUNJAB KINGS,AWAY,Day,LOST,28041.27451,4027.548233,198,178,156.4,1162,134.76,137.85
124,0,CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,AWAY,Day,LOST,29672.31084,3875.17021,128,160,138,917,118.872,107.8992
125,0,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,HOME,Day/Night,LOST,23403.13995,4267.216084,175,136,134,5,135,135
126,0,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,NEUTRAL,Day/Night,LOST,37467.11706,2905.84587,175,159,136,3,140,140
127,0,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,AWAY,Day/Night,LOST,29971.13422,3958.840636,147,161.5,141,3,140,140
128,1,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,NEUTRAL,Day/Night,LOST,31686.7805,3285.317956,185,161,151,5,131.66,137.16
129,1,CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,HOME,Day/Night,WON,27655.54134,3623.402858,205,163,150,5,131.66,137.16
130,0,CHENNAI SUPER KINGS,MUMBAI INDIANS,HOME,Day/Night,LOST,31758.3371,4029.257938,112,165,149,5,131.66,137.16
131,1,KOLKATA KNIGHT RIDERS,DELHI CAPITALS,HOME,Day/Night,LOST,21706.26259,3512.449529,97,137,135,5,135,135
132,1,PUNE WARRIORS,MUMBAI INDIANS,AWAY,Day,LOST,30031.79852,3539.554571,129,159,146,3,140,140
133,1,RAJASTHAN ROYALS,PUNJAB KINGS,HOME,Day/Night,LOST,28148.62338,3654.525073,191,151,144,429,145.06,142.33
134,1,ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,HOME,Day,LOST,21196.03156,3413.021348,157,158,136.5,917,118.872,107.8992
135,1,CHENNAI SUPER KINGS,DECCAN CHARGERS,AWAY,Day/Night,LOST,20396.2412,3870.996365,193,158,144,50,135.68,133.98
136,1,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,HOME,Day,LOST,24075.96668,4135.787909,164,152,145,429,145.06,142.33
137,1,PUNE WARRIORS,PUNJAB KINGS,HOME,Day/Night,WON,21758.47699,3536.758429,166,158,144,590,140.7,139.87
138,0,DECCAN CHARGERS,MUMBAI INDIANS,HOME,Day/Night,WON,25314.67736,3632.009519,138,165.4,139,50,135.68,133.98
139,1,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,AWAY,Day,LOST,25089.67417,3636.061526,165,157,137,917,118.872,107.8992
140,0,CHENNAI SUPER KINGS,DELHI CAPITALS,AWAY,Day/Night,LOST,27288.55979,4174.522866,110,172,139,208,136,130
141,1,MUMBAI INDIANS,RAJASTHAN ROYALS,HOME,Day/Night,LOST,22177.86326,4601.464446,197,157.5,141,3,140,140
142,0,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,AWAY,Day,WON,29643.84029,2966.177137,205,163,148.5,5,131.66,137.16
143,0,PUNE WARRIORS,PUNJAB KINGS,AWAY,Day/Night,LOST,27642.15164,3643.312836,115,179.5,155,318,137.16,137.16
144,0,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,AWAY,Day/Night,WON,24022.65761,4124.826364,131,136,134,5,135,135
145,0,CHENNAI SUPER KINGS,PUNE WARRIORS,AWAY,Day/Night,WON,20660.59335,3822.328469,155,159.6,143.2,590,140.7,139.87
146,1,PUNJAB KINGS,KOLKATA KNIGHT RIDERS,AWAY,Day,LOST,24227.91175,3845.118388,134,135,135,5,135,135
